"Club_ExternID","Club_HRV_Latitude","Club_HRV_Longitude"
11001,47.922206846624,9.760202295638676
11002,49.230058788183385,9.1691894401694
11003,48.02017812586597,7.5879532575923525
11004,49.458042727883004,8.987593716036981
11005,48.72443414007071,9.33336947866591
11008,49.410251233852804,8.681250340159286
11009,49.41430471227637,8.694218524194852
11011,49.1316093905307,9.203230395622004
11012,49.01747902383454, 8.342348777660652
11014,47.66747672787412,9.179042203799591
11015,49.069267197305635,9.16524736474868
11016,49.4870195461103, 8.49366785674909
11017,49.48940391354566,8.49356331859271
11018,49.479492825451956,8.461635799032777
11019,49.43437896584792,8.520487416035037
11041,49.489397311822536,8.451128480989507
11101,49.961796644126196,9.134146299290668
11106,48.756527269293365,11.421365510098799
11501,53.55958119401939,10.00737912342981
11602,49.82487820965406,8.47786759776024
11605,51.18939033354163,10.072929233075746
11628,50.85885436576089,9.702317128869181
11606,50.011815130701656,8.430982850021397
11609,50.091481231276134,8.640804637558853
11610,50.10276713615746,8.67317369700041
11612,50.09797285004628,8.565814901599586
11614,50.10556394946911,8.71668092558851
11616,50.10522886567796,8.716155520739413
11619,50.10523656764717,8.715353107652636
11622,50.591036926079944,8.668572701934162
11624,50.589631605364794,8.669525977301012
11627,50.12820973594481,8.90676062807606
11817,52.37758680683314,9.715158741536547
11818,52.362555598023484,9.723259560132991
11903,50.64450859272049,7.216224046733934
11913,51.09921591920976,6.876417740393728
11950,51.341567040330276,6.680412362060207
12003,50.32745467915488,7.730944664417759
12007,49.92483582999838,7.066322633966662
12008,49.9705423675628,7.891017954371727
12026,50.308897743375645,7.599208864983495
21601,50.861036580285884,9.70126836609936
